,3421dfc4-8085-4af7-bf73-a46e655fc2ca,6627912f-da9b-4406-a119-7b92c53af450,cb03d106-69f5-4504-bd05-38c0fef5b63c,39b30a7e-ff49-427d-bdb6-f387e56ba5db,78e2585b-4ae2-4c55-a4a2-ed3707ed2fef,315e916f-fc68-4ab5-8a14-08999dd6dc5e,f3917a26-aeb8-49e7-b322-f84889bdf8bc,6cf861f2-93ff-445a-831f-e46ca50720a5,56ed28ea-6c2d-48c5-be37-142448850eae,262b810a-925a-4744-a150-392afbd819c1,4731525f-62dd-4128-ab56-3991b403e17e,081d1c6d-8f95-4d24-9176-a44641e41e8c,2962cada-f998-4cb6-bb25-e8ff2f486dd0,ad7b68aa-c031-4368-80c5-ee26e71594f4,d06aa7a1-c36f-4f5b-b5cd-fe1845dd2801,c595e8cc-74d4-4bfc-ac20-ee758c7e58a1,c3c1d772-792d-4dd0-a05d-45d4da5187e7,64a5e3a5-f202-4327-a074-5d38cd97709f,19a1c988-0e3d-4523-a394-cad4ac268497,a54a3753-066b-41f1-bbbf-cf1e154dba78,395dd978-ca54-4016-be0e-dce0019e32d0,ffebcace-a777-44c5-afd6-157aa070cee2,7ec02476-488d-412d-917e-364af6f0f9d9,b8c2f659-c140-430d-b0fc-1c8318604fbd,1a781432-3409-488e-9970-8201b78f62e4,54f4ef9a-6e4a-4283-aa26-2b7295954a52,7b9e151d-1eba-4328-b6f9-3eaf5217d360,dc100bb5-43c7-44a4-ae39-9ebd8ddfed97,d311d20b-f4a6-476e-afcc-bdd287be116c,d88ae8de-86fd-4dc6-b59d-d3e32f6b3908,7467fcab-0da1-496a-b193-be6b7c6c5d44,0dcda023-62b3-4872-966f-eb471f071d07,3ee26d15-dd49-4c71-9234-2ef50ef5bdee,8829514a-cb9f-47fb-aaeb-3167776f1062,b53660ec-ab0d-407f-be6f-684e58b28860,748f86ca-3b50-4ffa-b906-2232092c9a44,dba89696-c774-4ce0-9193-b735e68792a6,7a8ea59e-0205-458e-afc3-89c588ef7e8f,cee3fcf7-d49d-4889-9778-9ae768c39d82,e4ccc57d-4039-4ef0-98fe-283233bea8be,4ddd709e-f420-4586-8327-0e4da00cd9b5,8aa79db1-5df8-41c4-9c05-b69a23085da7,75ad8bbf-c050-45ee-9376-29abae836ebd,abfc0fa2-800d-43b5-b2da-88131412cef4,7d7b1f64-58f4-458b-8bb4-a85c90692fa7,b2a608e2-a35d-47fc-9f64-9ea042b3e68f,50fd73e8-ef37-44ba-8081-de62507f79f7,0135e29b-678d-4188-a935-1d0bfec9450b,1b1be5b7-e341-42b7-842d-cc83b56785e1,908de40a-25d7-4ad5-a45a-de9eb3709a77,f5d5aba7-faf3-4c7b-a324-508931a37649,93c8b989-b8b1-4b78-ac56-ec066775aceb,9e320169-d927-4e03-a1e4-78b1175e5833,5dd359a7-76b4-4458-9e6a-6a373b14eaac,ccbfb274-bf92-4d4e-bfe8-eb1626713253,5a0be539-f281-451c-b7f2-a63de0594947,fa4a42a7-9752-4fe1-850a-f7486ab28b0d,6d8206cf-51e3-416f-a6d9-47de3c982a9a,a229dbd5-de78-4abe-bfcc-1716c1dff00f,138d0fd5-f669-45f2-b26b-4c6856dfd923,d54c1e02-5058-4a7b-822c-b94b1aa5437e,c27daf06-3a56-4b68-999c-d6f451a98e69,2740572c-d3e1-441c-a957-78cc8bae56d2,91280388-8cf6-4b93-ae2b-69d955368d1c,393066a0-8cbb-495d-aeae-06f131b2d12a,23e9fbde-fd65-4163-afbd-1394e0d1fa73,69a7c168-ac95-4fe8-bdcd-7866a6c6ab04,b20c3f09-9179-43ca-9fb7-e845e97c8fd5,ad3ddd76-3ff0-44b7-8ea7-56c1c896b4ee,8af8b090-dfe5-4e15-bc78-cf4a7d2b1dc8,daedb3c9-2dc0-496c-af1f-d1fd37ba7e86,9ea63ec1-ea3b-43ff-92cf-05aa50ccfafd,9fe6ae61-bcbd-4086-8e64-832fb018a439,265cae4d-4cf9-49e0-a02e-91c802b10e5a,69835f7b-13f1-4e3d-9f2e-c17e0f54c218,94abd890-c3d9-4925-9483-7480d4c865a6,3d75c635-4d81-4ce9-85e8-ce1f91b3b372,32f3be97-94fb-4a61-893a-8d60715c3513,8cf68358-747f-4351-8717-ba7933cb428b,52582e45-507b-45ce-b68f-19af8f9cd791,44ad1518-dafe-4e57-bf41-64b7801b6fb8,ff3f7744-41bc-4f49-a081-dea48bf12145,8966412d-baea-44e1-84c4-6dafb13d799d,e2c8856d-6f7c-4730-9cbd-4a245606b62d,1640d273-06d6-444b-9141-cfbeab7852af,099c4c9a-9b78-4b7a-9f70-2faf4488bb56,ddaf655f-3dd6-4fe0-8f8f-bf442f7156db,96f816e3-8551-4bb5-9e45-37273ee6970f,776e13a6-ede1-4914-ba96-8feeaf4388c1
fun,6.773643146332193,7.479679012451479,8.358837348939765,7.375685510223042,7.498961091929912,8.419851990484135,7.496072358744975,7.793639997833021,5.39264524587136,5.173587129876583,8.571804096442659,7.564789671781442,8.18151847668988,7.906699338663007,8.2862664293469,7.529483254028818,5.026429899994897,4.54707486279738,7.919298007149807,7.52738454403992,8.246939950643695,8.057808817758476,6.573047285168961,7.749541837148176,7.809812391807494,8.262849178574967,7.685483009464069,8.128920247484782,7.6180088080846335,7.877918855341888,7.860151492094039,7.593567625293694,7.401388150762607,7.263581162571124,7.915813924236205,7.782111314179202,7.712949520347721,8.322110233209905,8.014468995615907,7.563749766560271,7.43455798668126,7.548795149723324,7.76578407070804,7.920319726311015,7.862571482385114,8.342021612500986,7.323265762931502,6.8178338537244745,8.237337744205162,7.6071667975417645,8.018739057540206,8.154791883104059,8.854076200801623,8.138804778542877,8.177459361577956,8.22196834362229,6.978015214071527,8.025114736184953,7.916968979902663,8.01651655863717,8.081184954776319,7.602444270340717,6.846997335778801,6.507846207477469,8.425708843774,8.260284199852421,8.246694895225216,7.71978933019284,7.702887133452772,8.193886704702635,8.415251934535915,7.6961458189321545,7.497107939295354,7.508433489675487,8.020888953447022,7.739727876557714,7.9239546922358715,8.314579208994482,8.394792988026978,7.454145710446315,6.812175662883114,7.766915926026838,8.395002732322782,8.967058269449671,6.7725424735750765,8.690908487023904,5.931045529153624,7.104958059079981,8.061460052631702
completionTime,27670116818.42033,27670117725.431335,3726.563,92233721105.53976,101457093490.27354,18446748415.984554,27670117464.519325,92233720937.93677,119903836544.41011,119903836536.84712,9223375128.504776,1277.086,119903836944.44312,18446746651.51156,27670119514.00833,1535.099,138350580552.8217,138350580552.8217,1980.966,119903836565.07312,27670119554.62433,2848.4829999999997,138350580552.8217,92233721190.19276,92233721701.62877,46116863241.04888,92233721458.72777,83010350482.12299,27670117792.49133,119903836809.90611,73786978425.3842,92233721687.12177,119903836639.66612,92233721352.11377,27670118382.12533,27670118104.589333,1533.3410000000001,9223373117.120777,92233720772.65176,119903836684.42313,92233721611.30977,92233721194.91676,18446746189.576553,1936.3220000000001,119903836555.36212,92233720834.19977,119903836602.58612,138350580552.8217,3421.028,27670117772.83833,83010349626.609,9223374166.504776,110680457954.96533,2152.439,92233721150.35876,92233721280.95377,110680464993.81134,110680464890.88033,119903836942.43813,119903836665.63812,2670.3109999999997,1652.7,119903836591.64612,119903836715.79912,83010349529.27298,27670119063.03533,110680466716.69034,92233722129.64076,18446745675.504555,119903836740.59012,101457095223.19154,92233721388.96777,119903836641.14713,119903836545.05612,2781.8559999999998,119903836603.11311,83010350376.74298,73786979806.6692,92233722157.54576,119903836611.39412,138350580552.8217,119903837178.07712,27670119444.87533,7681.975,119903836573.79512,5120.2480000000005,138350580552.8217,92233721141.62978,2915.4569999999994
ch00completion,9223372036.854776,9223372036.854776,0.0,0.0,0.0,9223372036.854776,9223372036.854776,0.0,0.0,0.0,0.0,0.0,9223372036.854776,9223372036.854776,9223372036.854776,0.0,9223372036.854776,9223372036.854776,0.0,0.0,9223372036.854776,0.0,9223372036.854776,0.0,0.0,9223372036.854776,0.0,0.0,9223372036.854776,9223372036.854776,0.0,9223372036.854776,9223372036.854776,0.0,9223372036.854776,9223372036.854776,0.0,0.0,0.0,9223372036.854776,0.0,0.0,9223372036.854776,0.0,9223372036.854776,0.0,0.0,9223372036.854776,0.0,9223372036.854776,0.0,0.0,9223372036.854776,0.0,0.0,0.0,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,0.0,0.0,0.0,0.0,0.0,0.0,9223372036.854776,0.0,0.0,9223372036.854776,9223372036.854776,0.0,9223372036.854776,0.0,0.0,9223372036.854776,0.0,0.0,0.0,9223372036.854776,9223372036.854776,0.0,9223372036.854776,0.0,0.0,0.0,9223372036.854776,0.0,0.0
ch01completion,9223372036.854776,9223372036.854776,74.29,86.285,156.788,9223372036.854776,9223372036.854776,103.333,65.298,57.735,105.001,66.107,9223372036.854776,9223372036.854776,9223372036.854776,45.122,9223372036.854776,9223372036.854776,79.39,85.961,9223372036.854776,103.851,9223372036.854776,73.465,79.944,9223372036.854776,76.48,55.516,9223372036.854776,9223372036.854776,76.259,9223372036.854776,9223372036.854776,91.243,9223372036.854776,9223372036.854776,51.38,-1495.246,84.531,9223372036.854776,212.488,101.862,9223372036.854776,88.162,9223372036.854776,70.504,123.474,9223372036.854776,84.379,9223372036.854776,-727.032,106.473,9223372036.854776,42.834,82.589,79.87,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,196.207,66.753,112.534,236.687,45.657,92.201,9223372036.854776,77.855,81.099,9223372036.854776,9223372036.854776,64.719,9223372036.854776,65.944,67.282,9223372036.854776,72.382,119.851,113.452,9223372036.854776,9223372036.854776,698.965,9223372036.854776,106.712,94.683,150.259,9223372036.854776,134.549,95.335
ch02completion,9223372036.854776,9223372036.854776,494.321,577.833,842.909,370.235,9223372036.854776,360.731,9223372036.854776,9223372036.854776,477.493,185.017,9223372036.854776,494.845,9223372036.854776,146.217,9223372036.854776,9223372036.854776,245.811,9223372036.854776,9223372036.854776,343.255,9223372036.854776,651.456,1189.749,9223372036.854776,918.869,813.05,9223372036.854776,9223372036.854776,317.888,9223372036.854776,9223372036.854776,521.386,9223372036.854776,9223372036.854776,175.695,329.522,190.166,9223372036.854776,685.373,569.967,410.518,325.241,9223372036.854776,278.069,9223372036.854776,9223372036.854776,343.872,9223372036.854776,886.565,428.743,-6640.27,-932.142,555.587,658.951,420.263,327.563,9223372036.854776,9223372036.854776,306.783,225.286,9223372036.854776,9223372036.854776,-2034.004,233.977,1423.936,1562.982,227.304,9223372036.854776,623.787,804.666,9223372036.854776,9223372036.854776,337.144,9223372036.854776,718.795,348.713,1547.455,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,382.942,9223372036.854776,1794.116,9223372036.854776,510.529,443.694
ch03completion,32.599,37.187,46.786,46.102,85.174,90.94,41.913,82.864,9223372036.854776,9223372036.854776,75.732,57.771,285.321,63.557,116.501,43.99,9223372036.854776,9223372036.854776,87.158,9223372036.854776,55.792,75.05,9223372036.854776,38.989,51.308,163.563,50.433,102.952,41.308,67.014,118.99,50.862,48.944,63.896,47.275,81.17,71.858,42.889,62.824,100.681,310.717,100.714,59.283,44.054,46.839,52.041,9223372036.854776,9223372036.854776,79.732,61.674,286.994,34.639,78.314,81.056,75.514,115.476,83.668,63.058,369.786,134.661,101.407,288.22,9223372036.854776,9223372036.854776,122.758,61.001,170.426,59.0,60.917,80.938,214.536,61.597,40.141,9223372036.854776,70.327,50.683,50.909,61.995,107.889,97.95,9223372036.854776,9223372036.854776,72.866,101.859,9223372036.854776,55.121,9223372036.854776,87.21,82.747
ch04completion,11.752,6.343,33.568,26.772,9223372036.854776,52.805,29.148,22.461,9223372036.854776,9223372036.854776,38.167,16.305,180.01,39.824,20.606,20.858,9223372036.854776,9223372036.854776,78.366,9223372036.854776,12.016,10.45,9223372036.854776,57.735,12.08,349.289,44.398,51.912,19.083,263.78,111.05,42.092,111.61,307.041,18.094,31.901,14.216,65.68,66.583,104.63,34.184,53.826,55.966,18.367,29.411,65.038,9223372036.854776,9223372036.854776,25.501,24.232,48.223,40.562,74.664,59.165,68.121,58.109,47.623,58.002,93.54,51.865,16.231,39.044,9223372036.854776,9223372036.854776,87.693,57.106,680.071,61.256,43.0,180.54,76.214,89.438,121.894,9223372036.854776,40.124,73.318,70.401,21.096,20.202,34.332,9223372036.854776,9223372036.854776,71.652,15.169,9223372036.854776,64.909,9223372036.854776,40.794,24.733
ch05completion,120.818,645.108,1121.191,9223372036.854776,9223372036.854776,860.878,328.88,9223372036.854776,9223372036.854776,9223372036.854776,376.412,290.533,9223372036.854776,656.624,1460.16,214.554,9223372036.854776,9223372036.854776,413.152,9223372036.854776,1611.938,710.353,9223372036.854776,9223372036.854776,9223372036.854776,1267.026,9223372036.854776,1127.0,827.684,9223372036.854776,970.468,915.859,9223372036.854776,9223372036.854776,416.037,701.136,302.143,1527.999,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,476.222,791.349,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,1258.025,342.806,800.166,1125.709,9223372036.854776,1886.079,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,949.5,491.121,9223372036.854776,9223372036.854776,2975.476,1358.125,9223372036.854776,9223372036.854776,446.804,9223372036.854776,1903.252,9223372036.854776,9223372036.854776,9223372036.854776,1032.879,9223372036.854776,1132.563,2256.125,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,2079.105,5107.923,9223372036.854776,1162.392,9223372036.854776,9223372036.854776,460.724
ch06completion,52.913,108.807,353.854,9223372036.854776,9223372036.854776,1563.436,103.994,9223372036.854776,9223372036.854776,9223372036.854776,237.077,121.78,9223372036.854776,200.352,296.081,102.48,9223372036.854776,9223372036.854776,111.689,9223372036.854776,194.195,194.086,9223372036.854776,9223372036.854776,9223372036.854776,-725.179,9223372036.854776,9223372036.854776,136.354,9223372036.854776,535.891,241.613,9223372036.854776,9223372036.854776,79.736,309.064,134.302,118.365,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,132.266,127.622,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,375.099,173.825,9223372036.854776,102.095,9223372036.854776,279.293,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,192.83,90.525,9223372036.854776,9223372036.854776,9223372036.854776,793.284,9223372036.854776,9223372036.854776,327.138,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,447.271,9223372036.854776,9223372036.854776,704.051,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,203.807,599.774,9223372036.854776,178.749,9223372036.854776,9223372036.854776,141.651
ch07completion,33.67,96.735,815.09,9223372036.854776,9223372036.854776,53.942,245.216,9223372036.854776,9223372036.854776,9223372036.854776,461.543,65.539,9223372036.854776,111.357,77.741,63.871,9223372036.854776,9223372036.854776,58.041,9223372036.854776,111.459,110.149,9223372036.854776,9223372036.854776,9223372036.854776,1695.244,9223372036.854776,9223372036.854776,58.398,9223372036.854776,9223372036.854776,68.148,9223372036.854776,9223372036.854776,153.094,71.721,69.619,23.999,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,80.544,50.246,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,514.485,67.813,9223372036.854776,75.601,9223372036.854776,69.499,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,101.138,39.884,9223372036.854776,9223372036.854776,9223372036.854776,78.294,9223372036.854776,9223372036.854776,151.515,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,155.98,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,63.447,88.331,9223372036.854776,368.696,9223372036.854776,9223372036.854776,86.741
ch08completion,105.311,381.815,113.769,9223372036.854776,9223372036.854776,234.325,134.813,9223372036.854776,9223372036.854776,9223372036.854776,77.288,40.268,9223372036.854776,223.109,219.619,133.728,9223372036.854776,9223372036.854776,403.345,9223372036.854776,356.424,135.275,9223372036.854776,9223372036.854776,9223372036.854776,105.716,9223372036.854776,9223372036.854776,78.701,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,385.17,228.061,207.413,220.361,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,252.648,143.403,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,152.278,489.902,9223372036.854776,106.811,9223372036.854776,124.297,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,100.409,90.899,9223372036.854776,9223372036.854776,9223372036.854776,112.87,9223372036.854776,9223372036.854776,151.244,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,50.134,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,147.858,297.938,9223372036.854776,58.51,9223372036.854776,9223372036.854776,609.331
ch09completion,47.411,58.445,98.122,9223372036.854776,9223372036.854776,69.796,55.955,9223372036.854776,9223372036.854776,9223372036.854776,65.704,36.822,9223372036.854776,40.73,41.448,71.142,9223372036.854776,9223372036.854776,47.088,9223372036.854776,57.527,218.395,9223372036.854776,9223372036.854776,9223372036.854776,66.021,9223372036.854776,9223372036.854776,113.923,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,48.44,51.962,44.883,42.863,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,106.774,53.38,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,78.724,60.632,9223372036.854776,56.857,9223372036.854776,82.319,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,60.399,42.361,9223372036.854776,9223372036.854776,9223372036.854776,103.357,9223372036.854776,9223372036.854776,60.484,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,39.732,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,44.906,185.778,9223372036.854776,111.747,9223372036.854776,9223372036.854776,59.395
ch10completion,33.268,39.047,7.896,9223372036.854776,9223372036.854776,42.537,46.87,9223372036.854776,9223372036.854776,9223372036.854776,42.988,40.086,9223372036.854776,40.86,187.357,63.007,9223372036.854776,9223372036.854776,22.493,9223372036.854776,11.155,105.752,9223372036.854776,9223372036.854776,9223372036.854776,100.938,9223372036.854776,9223372036.854776,41.811,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,41.261,46.306,41.296,33.345,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,193.767,67.589,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,77.205,68.978,9223372036.854776,19.879,9223372036.854776,99.617,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,82.891,30.459,9223372036.854776,9223372036.854776,9223372036.854776,58.762,9223372036.854776,9223372036.854776,39.621,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,24.895,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,43.895,58.514,9223372036.854776,92.543,9223372036.854776,9223372036.854776,44.078
ch11completion,3.116,3.248,3.209,9223372036.854776,9223372036.854776,3.278,4.371,9223372036.854776,9223372036.854776,9223372036.854776,3.18,3.112,9223372036.854776,5.422,4.111,3.053,9223372036.854776,9223372036.854776,3.248,9223372036.854776,5.503,3.326,9223372036.854776,9223372036.854776,9223372036.854776,8.237,9223372036.854776,9223372036.854776,3.177,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,3.735,3.814,3.141,3.617,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,3.219,2.932,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,4.159,5.465,9223372036.854776,3.214,9223372036.854776,3.891,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,4.763,3.143,9223372036.854776,9223372036.854776,9223372036.854776,3.494,9223372036.854776,9223372036.854776,4.068,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,6.097,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,3.768,5.423,9223372036.854776,7.454,9223372036.854776,9223372036.854776,3.979
ch12completion,9.217,22.492,10.945,9223372036.854776,9223372036.854776,45.007,5.688,9223372036.854776,9223372036.854776,9223372036.854776,55.486,4.303,9223372036.854776,8.05,56.933,31.634,9223372036.854776,9223372036.854776,6.559,9223372036.854776,7.667,22.125,9223372036.854776,9223372036.854776,9223372036.854776,25.92,9223372036.854776,9223372036.854776,6.153,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,11.947,13.281,5.165,5.495,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,39.941,7.329,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,8.211,8.735,9223372036.854776,366.73,9223372036.854776,15.001,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,7.246,7.186,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,8.601,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,5.001,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,14.086,10.638,9223372036.854776,16.727,9223372036.854776,9223372036.854776,103.064
ch13completion,159.338,85.719,246.927,9223372036.854776,9223372036.854776,375.611,184.676,9223372036.854776,9223372036.854776,9223372036.854776,1075.579,94.182,9223372036.854776,598.957,167.734,503.569,9223372036.854776,9223372036.854776,259.773,9223372036.854776,434.06,350.106,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,130.65,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,169.766,274.514,181.978,161.377,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,132.916,125.089,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,203.727,275.626,9223372036.854776,-337.663,9223372036.854776,181.379,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,317.914,115.378,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,398.14,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,175.493,609.41,9223372036.854776,820.469,9223372036.854776,9223372036.854776,661.736
ch14completion,98.443,129.921,306.595,9223372036.854776,9223372036.854776,579.485,172.431,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,255.261,9223372036.854776,94.115,755.153,91.874,9223372036.854776,9223372036.854776,164.853,9223372036.854776,586.324,466.31,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,224.685,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,897.006,181.095,230.252,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,171.803,91.559,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,215.631,82.586,9223372036.854776,9223372036.854776,9223372036.854776,160.151,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,232.593,122.441,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,106.85,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,413.428,111.564,9223372036.854776,238.556,9223372036.854776,9223372036.854776,98.249
ch00total,0.0,0.0,74.157,86.284,156.791,59.365,0.0,103.35,65.235,57.946,104.882,66.319,0.0,0.0,0.0,44.301,0.0,0.0,79.395,85.952,0.0,103.933,0.0,73.444,79.93,0.0,76.409,55.427,0.0,0.0,76.243,0.0,0.0,91.239,0.0,0.0,51.339,35.16,84.383,0.0,212.867,179.925,39.132,88.137,0.0,186.595,177.324,0.0,84.399,0.0,125.517,106.468,0.0,42.733,82.582,79.881,36.647,97.479,0.0,0.0,196.155,98.793,112.589,236.468,45.65,147.917,77.762,77.829,81.099,0.0,90.773,64.634,0.0,65.887,67.268,0.0,72.307,119.511,112.977,0.0,0.0,698.52,0.0,106.667,94.643,149.652,75.693,134.423,95.308
ch01total,85.109,12.082,494.46,577.794,842.821,370.211,16.366,360.69,100.549,70.223,477.464,185.065,1108.283,495.226,467.595,146.918,412.974,0.0,245.813,1587.998,256.569,343.26,0.0,651.424,1189.73,268.962,918.897,813.064,66.171,307.144,317.837,218.622,352.627,611.818,36.917,230.066,175.29,510.406,189.668,1483.975,685.495,491.876,410.527,325.227,85.649,558.048,1248.952,395.878,343.908,80.649,837.301,428.692,325.623,354.198,555.542,658.879,420.318,327.528,634.417,837.22,306.394,359.954,755.736,327.247,692.456,501.533,1425.544,1562.893,227.248,182.097,623.846,804.691,317.294,1670.084,337.019,248.429,718.86,727.165,1547.524,313.278,908.846,1407.162,77.432,382.904,424.626,1813.407,376.566,510.596,443.604
ch02total,32.592,37.199,46.786,46.116,85.182,91.021,41.932,174.62,0.0,0.0,75.791,57.777,285.295,57.193,116.461,44.032,0.0,0.0,87.149,0.0,56.193,75.075,0.0,39.011,51.104,163.564,50.406,102.997,41.313,66.999,119.025,88.449,48.949,63.9,68.95,102.677,72.289,86.461,63.365,100.609,310.712,100.659,58.843,74.757,46.832,175.046,0.0,518.125,79.695,61.749,286.943,34.642,77.641,166.425,75.54,115.541,83.696,63.081,369.791,134.681,101.763,121.395,0.0,0.0,313.01,114.855,169.365,59.029,60.912,80.882,214.468,61.614,40.099,0.0,66.201,50.655,50.856,110.667,107.885,156.614,0.0,0.0,72.916,101.913,0.0,55.391,0.0,87.216,82.795
ch03total,28.024,150.049,267.663,94.394,555.154,120.731,83.066,161.364,0.0,0.0,76.564,64.703,573.009,158.827,140.668,67.457,0.0,0.0,117.278,0.0,322.497,135.997,0.0,285.218,28.741,576.311,91.676,119.964,110.558,326.213,276.807,310.717,210.431,307.061,78.182,87.422,67.872,297.777,424.348,230.033,155.843,97.816,150.243,228.702,84.782,763.553,0.0,0.0,227.685,41.734,176.744,227.42,1434.031,274.956,424.455,342.633,65.856,281.148,334.301,687.323,115.026,73.11,0.0,0.0,399.83,198.262,681.122,171.204,107.908,560.888,803.113,216.524,212.814,0.0,77.263,252.041,175.646,149.808,84.252,170.515,0.0,0.0,447.061,848.102,0.0,217.98,0.0,40.769,81.436
ch04total,104.566,501.393,887.073,674.96,0.0,792.946,274.896,1421.254,90.608,0.0,337.933,242.175,1626.707,543.813,1340.094,167.952,0.0,0.0,374.23,0.0,1301.422,584.767,0.0,1161.689,982.709,1006.8,820.26,1058.891,736.197,1938.02,804.672,609.582,1026.25,488.272,334.428,624.112,248.447,1036.202,2091.513,162.194,231.633,907.68,382.318,550.236,2419.913,2461.082,0.0,0.0,1055.836,325.261,671.598,938.742,5165.581,1404.624,2423.185,2382.347,466.27,2287.536,1404.934,1829.62,850.575,457.061,0.0,0.0,2151.347,839.88,1495.431,382.289,381.884,2803.209,1176.309,1013.382,1232.614,0.0,999.944,1727.287,1027.088,1699.898,2366.592,1086.601,0.0,0.0,1703.706,4274.716,0.0,990.184,0.0,312.026,404.052
