,3421dfc4-8085-4af7-bf73-a46e655fc2ca,d79be9fe-e617-4ce1-a141-d38971f6e9b4,6627912f-da9b-4406-a119-7b92c53af450,cb03d106-69f5-4504-bd05-38c0fef5b63c,39b30a7e-ff49-427d-bdb6-f387e56ba5db,ad580e35-08d5-45f7-9480-52b54c814d75,78e2585b-4ae2-4c55-a4a2-ed3707ed2fef,315e916f-fc68-4ab5-8a14-08999dd6dc5e,b21a6046-8129-4af9-a8fa-f6e293b73392,f3917a26-aeb8-49e7-b322-f84889bdf8bc,a637c17e-fdaf-4fa8-917d-e338e00a2eeb,f864bdfb-aefb-4667-bae5-ca10f3ed73ac,645c63c7-7855-4622-8f54-c28dc40456f7,1e94b693-df8f-4ad0-9f02-4aac6929bdaa,d06181ef-a682-4fc0-8a29-4828b94e563b,6cf861f2-93ff-445a-831f-e46ca50720a5,56ed28ea-6c2d-48c5-be37-142448850eae,262b810a-925a-4744-a150-392afbd819c1,09318e51-6794-429d-a7d2-381474c9aa53,4731525f-62dd-4128-ab56-3991b403e17e,081d1c6d-8f95-4d24-9176-a44641e41e8c,2962cada-f998-4cb6-bb25-e8ff2f486dd0,ad7b68aa-c031-4368-80c5-ee26e71594f4,d06aa7a1-c36f-4f5b-b5cd-fe1845dd2801,c595e8cc-74d4-4bfc-ac20-ee758c7e58a1,c3c1d772-792d-4dd0-a05d-45d4da5187e7,64a5e3a5-f202-4327-a074-5d38cd97709f,19a1c988-0e3d-4523-a394-cad4ac268497,a54a3753-066b-41f1-bbbf-cf1e154dba78,fb48d3a7-3eb6-4752-bea5-b5252851d43f,395dd978-ca54-4016-be0e-dce0019e32d0,ffebcace-a777-44c5-afd6-157aa070cee2,7ec02476-488d-412d-917e-364af6f0f9d9,de5bdbe5-90ea-4b56-8ab6-c0450c59d35d,3c7ebaa2-faf5-40ad-b7ce-f04b3dd899a4,b8c2f659-c140-430d-b0fc-1c8318604fbd,1a781432-3409-488e-9970-8201b78f62e4,54f4ef9a-6e4a-4283-aa26-2b7295954a52,7b9e151d-1eba-4328-b6f9-3eaf5217d360,dc100bb5-43c7-44a4-ae39-9ebd8ddfed97,d311d20b-f4a6-476e-afcc-bdd287be116c,d88ae8de-86fd-4dc6-b59d-d3e32f6b3908,7467fcab-0da1-496a-b193-be6b7c6c5d44,4201a55f-5ec6-4a9d-adbe-c4930c6ca360,0dcda023-62b3-4872-966f-eb471f071d07,3ee26d15-dd49-4c71-9234-2ef50ef5bdee,34b30060-14af-4b99-9a04-b12337c51404,45f498f9-5c24-4cc0-b90a-60320417a9bd,8829514a-cb9f-47fb-aaeb-3167776f1062,b53660ec-ab0d-407f-be6f-684e58b28860,748f86ca-3b50-4ffa-b906-2232092c9a44,1b552dbc-6c3a-41ff-9590-43e5ca61b927,dba89696-c774-4ce0-9193-b735e68792a6,7a8ea59e-0205-458e-afc3-89c588ef7e8f,079df34d-ce0e-4b19-941f-b81b10db38fc,cee3fcf7-d49d-4889-9778-9ae768c39d82,e4ccc57d-4039-4ef0-98fe-283233bea8be,4ddd709e-f420-4586-8327-0e4da00cd9b5,808098d1-b48f-4b0d-93cc-0fdf217b2163,0f559518-8273-4252-927a-9751b0826aaf,d898b896-a46d-44b5-ab49-cb4889234036,8aa79db1-5df8-41c4-9c05-b69a23085da7,04424c3f-9418-4752-ba1d-5c6fda1cd6c2,75ad8bbf-c050-45ee-9376-29abae836ebd,abfc0fa2-800d-43b5-b2da-88131412cef4,7d7b1f64-58f4-458b-8bb4-a85c90692fa7,b2a608e2-a35d-47fc-9f64-9ea042b3e68f,50fd73e8-ef37-44ba-8081-de62507f79f7,0135e29b-678d-4188-a935-1d0bfec9450b,1b1be5b7-e341-42b7-842d-cc83b56785e1,76583011-ef2e-48a8-a1a9-e4989852de7f,acdd1849-7872-4f43-b301-8716681e0603,908de40a-25d7-4ad5-a45a-de9eb3709a77,530d0a7d-b289-44d2-b5e3-e8aea2953212,f5d5aba7-faf3-4c7b-a324-508931a37649,f2b9c865-6307-4fb4-97d4-70b4ccde5f38,93c8b989-b8b1-4b78-ac56-ec066775aceb,ed3ed941-897a-4d56-b925-0681281c4e1c,9e320169-d927-4e03-a1e4-78b1175e5833,5dd359a7-76b4-4458-9e6a-6a373b14eaac,ccbfb274-bf92-4d4e-bfe8-eb1626713253,5a0be539-f281-451c-b7f2-a63de0594947,fa4a42a7-9752-4fe1-850a-f7486ab28b0d,43620331-f715-42be-b915-1eaa0b3e2b08,6d8206cf-51e3-416f-a6d9-47de3c982a9a,a229dbd5-de78-4abe-bfcc-1716c1dff00f,138d0fd5-f669-45f2-b26b-4c6856dfd923,d54c1e02-5058-4a7b-822c-b94b1aa5437e,c27daf06-3a56-4b68-999c-d6f451a98e69,c959cf5e-4f69-4990-a662-cd355ca85cf7,2740572c-d3e1-441c-a957-78cc8bae56d2,bfe573c5-4a87-4a2d-a0e8-a5f12e491735,91280388-8cf6-4b93-ae2b-69d955368d1c,393066a0-8cbb-495d-aeae-06f131b2d12a,23e9fbde-fd65-4163-afbd-1394e0d1fa73,69a7c168-ac95-4fe8-bdcd-7866a6c6ab04,b20c3f09-9179-43ca-9fb7-e845e97c8fd5,614ee396-283c-4621-9834-cb914244cc52,ad3ddd76-3ff0-44b7-8ea7-56c1c896b4ee,8af8b090-dfe5-4e15-bc78-cf4a7d2b1dc8,daedb3c9-2dc0-496c-af1f-d1fd37ba7e86,9ea63ec1-ea3b-43ff-92cf-05aa50ccfafd,9fe6ae61-bcbd-4086-8e64-832fb018a439,b601a489-62e0-40c4-9c15-4031843afba4,265cae4d-4cf9-49e0-a02e-91c802b10e5a,69835f7b-13f1-4e3d-9f2e-c17e0f54c218,94abd890-c3d9-4925-9483-7480d4c865a6,3d75c635-4d81-4ce9-85e8-ce1f91b3b372,32f3be97-94fb-4a61-893a-8d60715c3513,8cf68358-747f-4351-8717-ba7933cb428b,52582e45-507b-45ce-b68f-19af8f9cd791,c0d52f0f-da00-4a52-9750-b718efed7ab8,44ad1518-dafe-4e57-bf41-64b7801b6fb8,ff3f7744-41bc-4f49-a081-dea48bf12145,8966412d-baea-44e1-84c4-6dafb13d799d,e2c8856d-6f7c-4730-9cbd-4a245606b62d,beacb7af-8b2d-40c6-95c4-369c098ca735,1640d273-06d6-444b-9141-cfbeab7852af,099c4c9a-9b78-4b7a-9f70-2faf4488bb56,64d692ac-92ce-4832-b7d7-4c241c481aef,ddaf655f-3dd6-4fe0-8f8f-bf442f7156db,96f816e3-8551-4bb5-9e45-37273ee6970f,402aca9f-c0db-499c-a551-805c0c2fecb9,776e13a6-ede1-4914-ba96-8feeaf4388c1,0ff16c36-6efb-43b4-8ea0-791355f3342a
ch01completion,64.573,59.236,69.665,74.29,86.285,82.916,156.788,106.226,201.874,61.692,267.514,134.329,125.261,153.506,77.029,103.333,65.298,70.085,70.084,105.001,66.107,138.628,120.12,91.983,45.122,123.498,84.79,79.39,85.961,42.709,93.04,103.851,9223372036.854776,71.063,61.058,73.465,79.944,117.551,76.48,55.516,55.522,125.922,76.259,83.33,87.118,98.272,97.652,94.031,91.243,64.706,83.43,112.762,51.38,106.72,70.727,84.531,72.155,212.488,166.61,103.216,66.483,101.862,461.373,67.573,88.162,84.814,70.504,123.474,70.617,84.379,133.669,58.513,46.1,134.268,90.446,80.662,106.473,62.309,77.239,75.018,82.589,79.87,68.136,104.716,109.673,69.658,166.096,196.207,66.753,82.991,112.534,54.696,236.687,102.088,92.201,224.815,77.855,48.589,81.099,132.461,124.773,64.719,167.632,52.562,65.944,67.282,64.073,72.382,119.851,113.452,78.834,82.901,66.527,698.965,108.252,106.712,62.941,94.683,150.259,100.791,107.802,134.549,54.602,95.335,183.436
ch02completion,167.5,463.567,244.845,494.321,577.833,9223372036.854776,842.909,370.235,790.518,246.451,806.796,380.543,864.335,422.82,376.622,360.731,9223372036.854776,579.87,9223372036.854776,477.493,185.017,1174.094,494.845,560.086,146.217,9223372036.854776,466.325,245.811,9223372036.854776,1147.183,342.797,343.255,9223372036.854776,564.978,9223372036.854776,651.456,1189.749,450.852,918.869,813.05,257.78,361.81,317.888,367.883,295.04,557.58,317.656,596.974,521.386,289.935,263.492,9223372036.854776,175.695,329.522,9223372036.854776,190.166,1583.726,685.373,639.599,9223372036.854776,9223372036.854776,569.967,1291.935,410.518,325.241,356.438,278.069,9223372036.854776,667.962,343.872,535.297,314.018,223.741,995.545,886.565,714.305,428.743,959.485,425.203,301.943,555.587,658.951,420.263,9223372036.854776,327.563,804.251,976.254,306.783,225.286,9223372036.854776,9223372036.854776,949.991,9223372036.854776,666.557,233.977,1423.936,1562.982,292.619,227.304,331.487,623.787,804.666,489.614,954.286,9223372036.854776,337.144,322.063,718.795,348.713,1547.455,516.347,722.571,9223372036.854776,9223372036.854776,305.772,382.942,247.525,9223372036.854776,1794.116,9223372036.854776,9223372036.854776,510.529,9223372036.854776,443.694,9223372036.854776
ch03completion,60.254,309.834,37.187,46.786,46.102,9223372036.854776,85.174,90.94,73.957,41.913,245.75,120.442,93.825,92.002,66.017,82.864,9223372036.854776,112.41,9223372036.854776,75.732,57.771,285.321,63.557,116.501,43.99,9223372036.854776,68.701,87.158,9223372036.854776,33.009,55.792,75.05,9223372036.854776,64.969,9223372036.854776,38.989,51.308,163.563,50.433,102.952,41.308,67.014,118.99,66.913,50.862,48.944,102.187,59.629,63.896,47.275,81.17,9223372036.854776,71.858,42.889,9223372036.854776,62.824,100.681,310.717,134.833,9223372036.854776,9223372036.854776,100.714,9223372036.854776,59.283,44.054,46.839,52.041,9223372036.854776,9223372036.854776,79.732,77.231,61.978,61.674,58.816,286.994,78.71,34.639,87.346,78.314,81.056,75.514,115.476,83.668,9223372036.854776,63.058,369.786,134.661,101.407,288.22,9223372036.854776,9223372036.854776,63.068,9223372036.854776,122.758,61.001,170.426,59.0,48.998,60.917,80.938,214.536,61.597,40.141,34.962,9223372036.854776,70.327,50.683,50.909,61.995,107.889,97.95,60.081,9223372036.854776,9223372036.854776,72.866,101.859,61.118,9223372036.854776,55.121,9223372036.854776,9223372036.854776,87.21,9223372036.854776,82.747,9223372036.854776
ch04completion,17.999,20.53,6.343,33.568,26.772,9223372036.854776,9223372036.854776,52.805,45.521,29.148,9223372036.854776,26.709,109.339,42.242,22.21,22.461,9223372036.854776,184.218,9223372036.854776,38.167,16.305,180.01,39.824,20.606,20.858,9223372036.854776,40.601,78.366,9223372036.854776,85.487,12.016,10.45,9223372036.854776,87.728,9223372036.854776,57.735,12.08,349.289,44.398,51.912,19.083,263.78,111.05,53.869,42.092,111.61,58.522,134.524,307.041,18.094,31.901,9223372036.854776,14.216,65.68,9223372036.854776,66.583,104.63,34.184,28.829,9223372036.854776,9223372036.854776,53.826,9223372036.854776,55.966,18.367,29.411,65.038,9223372036.854776,9223372036.854776,25.501,68.178,100.93,24.232,26.5,48.223,91.123,40.562,15.219,74.664,59.165,68.121,58.109,47.623,9223372036.854776,58.002,93.54,51.865,16.231,39.044,9223372036.854776,9223372036.854776,35.369,9223372036.854776,87.693,57.106,680.071,61.256,31.844,43.0,180.54,76.214,89.438,121.894,57.672,9223372036.854776,40.124,73.318,70.401,21.096,20.202,34.332,25.592,9223372036.854776,9223372036.854776,71.652,15.169,209.26,9223372036.854776,64.909,9223372036.854776,9223372036.854776,40.794,9223372036.854776,24.733,9223372036.854776
ch05completion,359.931,9223372036.854776,645.108,1121.191,9223372036.854776,9223372036.854776,9223372036.854776,860.878,9223372036.854776,328.88,9223372036.854776,2836.337,9223372036.854776,506.361,1385.832,9223372036.854776,9223372036.854776,315.947,9223372036.854776,376.412,290.533,9223372036.854776,656.624,1460.16,214.554,9223372036.854776,1736.923,413.152,9223372036.854776,9223372036.854776,1611.938,710.353,9223372036.854776,908.072,9223372036.854776,9223372036.854776,9223372036.854776,1267.026,9223372036.854776,1127.0,827.684,9223372036.854776,970.468,994.8,915.859,9223372036.854776,573.615,9223372036.854776,9223372036.854776,416.037,701.136,9223372036.854776,302.143,1527.999,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,476.222,791.349,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,1258.025,9223372036.854776,9223372036.854776,342.806,1183.553,800.166,9223372036.854776,1125.709,561.422,9223372036.854776,1886.079,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,949.5,491.121,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,2975.476,1358.125,9223372036.854776,9223372036.854776,9223372036.854776,446.804,9223372036.854776,1903.252,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,1032.879,9223372036.854776,1132.563,2256.125,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,2079.105,5107.923,9223372036.854776,9223372036.854776,1162.392,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,460.724,9223372036.854776
ch06completion,92.102,9223372036.854776,108.807,353.854,9223372036.854776,9223372036.854776,9223372036.854776,1563.436,9223372036.854776,103.994,9223372036.854776,340.258,9223372036.854776,302.936,174.522,9223372036.854776,9223372036.854776,868.899,9223372036.854776,237.077,121.78,9223372036.854776,200.352,296.081,102.48,9223372036.854776,332.291,111.689,9223372036.854776,9223372036.854776,194.195,194.086,9223372036.854776,149.97,9223372036.854776,9223372036.854776,9223372036.854776,-725.179,9223372036.854776,9223372036.854776,136.354,9223372036.854776,535.891,335.333,241.613,9223372036.854776,329.557,9223372036.854776,9223372036.854776,79.736,309.064,9223372036.854776,134.302,118.365,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,132.266,127.622,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,375.099,9223372036.854776,9223372036.854776,173.825,1446.167,9223372036.854776,9223372036.854776,102.095,1054.664,9223372036.854776,279.293,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,192.83,90.525,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,793.284,9223372036.854776,9223372036.854776,9223372036.854776,327.138,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,447.271,9223372036.854776,9223372036.854776,704.051,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,203.807,599.774,9223372036.854776,9223372036.854776,178.749,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,141.651,9223372036.854776
ch07completion,58.499,9223372036.854776,96.735,815.09,9223372036.854776,9223372036.854776,9223372036.854776,53.942,9223372036.854776,245.216,9223372036.854776,109.303,9223372036.854776,59.279,118.461,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,461.543,65.539,9223372036.854776,111.357,77.741,63.871,9223372036.854776,458.45,58.041,9223372036.854776,9223372036.854776,111.459,110.149,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,1695.244,9223372036.854776,9223372036.854776,58.398,9223372036.854776,9223372036.854776,42.129,68.148,9223372036.854776,84.346,9223372036.854776,9223372036.854776,153.094,71.721,9223372036.854776,69.619,23.999,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,80.544,50.246,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,514.485,9223372036.854776,9223372036.854776,67.813,458.605,9223372036.854776,9223372036.854776,75.601,66.397,9223372036.854776,69.499,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,101.138,39.884,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,78.294,9223372036.854776,9223372036.854776,9223372036.854776,151.515,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,155.98,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,63.447,88.331,9223372036.854776,9223372036.854776,368.696,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,86.741,9223372036.854776
ch08completion,756.177,9223372036.854776,381.815,113.769,9223372036.854776,9223372036.854776,9223372036.854776,234.325,9223372036.854776,134.813,9223372036.854776,346.155,9223372036.854776,74.324,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,77.288,40.268,9223372036.854776,223.109,219.619,133.728,9223372036.854776,111.5,403.345,9223372036.854776,9223372036.854776,356.424,135.275,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,105.716,9223372036.854776,9223372036.854776,78.701,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,92.309,9223372036.854776,9223372036.854776,385.17,228.061,9223372036.854776,207.413,220.361,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,252.648,143.403,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,152.278,9223372036.854776,9223372036.854776,489.902,343.813,9223372036.854776,9223372036.854776,106.811,57.543,9223372036.854776,124.297,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,100.409,90.899,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,112.87,9223372036.854776,9223372036.854776,9223372036.854776,151.244,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,50.134,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,147.858,297.938,9223372036.854776,9223372036.854776,58.51,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,609.331,9223372036.854776
ch09completion,47.411,9223372036.854776,58.445,98.122,9223372036.854776,9223372036.854776,9223372036.854776,69.796,9223372036.854776,55.955,9223372036.854776,55.59,9223372036.854776,166.98,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,65.704,36.822,9223372036.854776,40.73,41.448,71.142,9223372036.854776,92.839,47.088,9223372036.854776,9223372036.854776,57.527,218.395,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,66.021,9223372036.854776,9223372036.854776,113.923,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,48.44,51.962,9223372036.854776,44.883,42.863,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,106.774,53.38,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,78.724,9223372036.854776,9223372036.854776,60.632,203.934,9223372036.854776,9223372036.854776,56.857,147.508,9223372036.854776,82.319,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,60.399,42.361,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,103.357,9223372036.854776,9223372036.854776,9223372036.854776,60.484,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,39.732,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,44.906,185.778,9223372036.854776,9223372036.854776,111.747,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,59.395,9223372036.854776
ch10completion,33.268,9223372036.854776,39.047,7.896,9223372036.854776,9223372036.854776,9223372036.854776,42.537,9223372036.854776,46.87,9223372036.854776,35.483,9223372036.854776,27.466,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,42.988,40.086,9223372036.854776,40.86,187.357,63.007,9223372036.854776,51.091,22.493,9223372036.854776,9223372036.854776,11.155,105.752,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,100.938,9223372036.854776,9223372036.854776,41.811,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,41.261,46.306,9223372036.854776,41.296,33.345,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,193.767,67.589,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,77.205,9223372036.854776,9223372036.854776,68.978,50.762,9223372036.854776,9223372036.854776,19.879,71.932,9223372036.854776,99.617,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,82.891,30.459,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,58.762,9223372036.854776,9223372036.854776,9223372036.854776,39.621,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,24.895,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,43.895,58.514,9223372036.854776,9223372036.854776,92.543,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,44.078,9223372036.854776
ch11completion,3.116,9223372036.854776,3.248,3.209,9223372036.854776,9223372036.854776,9223372036.854776,3.278,9223372036.854776,4.371,9223372036.854776,4.038,9223372036.854776,4.845,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,3.18,3.112,9223372036.854776,5.422,4.111,3.053,9223372036.854776,3.962,3.248,9223372036.854776,9223372036.854776,5.503,3.326,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,8.237,9223372036.854776,9223372036.854776,3.177,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,3.735,3.814,9223372036.854776,3.141,3.617,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,3.219,2.932,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,4.159,9223372036.854776,9223372036.854776,5.465,3.206,9223372036.854776,9223372036.854776,3.214,5.462,9223372036.854776,3.891,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,4.763,3.143,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,3.494,9223372036.854776,9223372036.854776,9223372036.854776,4.068,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,6.097,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,3.768,5.423,9223372036.854776,9223372036.854776,7.454,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,3.979,9223372036.854776
ch12completion,9.217,9223372036.854776,22.492,10.945,9223372036.854776,9223372036.854776,9223372036.854776,45.007,9223372036.854776,5.688,9223372036.854776,5.32,9223372036.854776,70.267,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,55.486,4.303,9223372036.854776,8.05,56.933,31.634,9223372036.854776,22.98,6.559,9223372036.854776,9223372036.854776,7.667,22.125,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,25.92,9223372036.854776,9223372036.854776,6.153,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,11.947,13.281,9223372036.854776,5.165,5.495,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,39.941,7.329,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,8.211,9223372036.854776,9223372036.854776,8.735,4.772,9223372036.854776,9223372036.854776,366.73,4.749,9223372036.854776,15.001,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,7.246,7.186,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,8.601,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,5.001,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,14.086,10.638,9223372036.854776,9223372036.854776,16.727,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,103.064,9223372036.854776
ch13completion,159.338,9223372036.854776,85.719,246.927,9223372036.854776,9223372036.854776,9223372036.854776,375.611,9223372036.854776,184.676,9223372036.854776,375.903,9223372036.854776,237.224,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,1075.579,94.182,9223372036.854776,598.957,167.734,503.569,9223372036.854776,795.726,259.773,9223372036.854776,9223372036.854776,434.06,350.106,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,130.65,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,169.766,274.514,9223372036.854776,181.978,161.377,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,132.916,125.089,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,203.727,9223372036.854776,9223372036.854776,275.626,1020.63,9223372036.854776,9223372036.854776,-337.663,9223372036.854776,9223372036.854776,181.379,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,317.914,115.378,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,398.14,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,175.493,609.41,9223372036.854776,9223372036.854776,820.469,9223372036.854776,9223372036.854776,9223372036.854776,9223372036.854776,661.736,9223372036.854776
