"Timestamp","Vous intéressez-vous aux jeux vidéos ?","Jouez-vous aux jeux vidéos ?","Quel âge avez-vous ?","Quel est votre sexe ?","Combien de temps avez-vous étudié la biologie ?","Vous intéressez-vous à la biologie ?","Avant de jouer à Hero.Coli, aviez-vous déjà entendu parler de la biologie de synthèse ?","Avant de jouer à Hero.Coli, aviez-vous déjà entendu parler des BioBriques ?","Aviez-vous déjà joué à une ancienne version d'Hero.Coli auparavant ?","Avez-vous joué à la version actuelle d'Hero.Coli ?","Avez-vous joué à la version borne d'arcade d'Hero.Coli ?","Avez-vous joué à la version Android d'Hero.Coli ?","Pour modifier les capacités de la bactérie il faut...","Que sont les BioBriques et les constructions ?","Trouvez le nom de cette BioBrique :","Trouvez le nom de cette BioBrique :","Trouvez le nom de cette BioBrique :","Trouvez le nom de cette BioBrique :","Que fait cette brique ?","Que fait cette brique ?","Que fait cette brique ?","Que fait cette brique ?","Dans quel cas les BioBriques sont-elles dans le bon ordre ?","Quand la fluorescence verte se produit-elle ?","Que se passe-t-il quand on enlève la construction génétique de déplacement ?","Qu'est-ce que c'est ?","Que fait cette construction ?","Que fait cette construction ?","Que fait cette construction ?","Que fait cette construction ?","Que fait cette construction ?","Que fait cette construction ?","Que fait cette construction ?","Que fait cette construction ?","Imaginez : que ferait une construction produisant de la l-arabinose, débutant par un promoteur induit à la l-arabinose ?","Imaginez : la bactérie deviendrait jaune fluorescent...","Quelle est l'espèce de la bactérie du jeu ?","Quel est le nom scientifique des queues des bactéries ?","Trouvez l'antibiotique dans la liste :","Mettez ici vos remarques puis validez.","Ne pas modifier - identifiant anonyme prérempli"
"2017/10/16 2:06:32 PM GMT+1","Enormément","Enormément","17","Femme","Jusqu'à la license","Beaucoup","Oui","Non","Non","Non","Non","Non","Modifier l'ADN de la bactérie","Des séquences d'ADN","Terminateur","Précurseur","Fluorescence","RBS","Elle indique la fin de la construction","Elle contrôle quand la construction est active","Elle contrôle quelle protéine est produite, et donc quelle capacité est affectée","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Option 3","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Un plasmide - un moyen d'équiper une construction supplémentaire","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Elle ne serait active que dans les nuages de l-arabinose","Si elle produisait de la BFP sous lumière violette","Hero.Coli","Des flagelles","Ampicilline","Vraiment cool à jouer
","2b91e6b2-d5ed-42e1-8bf5-dc23aeaf7e6a"
"2017/10/16 2:07:00 PM GMT+1","Moyennement","Un peu","18","Femme","Jusqu'à la license","Beaucoup","Oui","Oui","Non","Une fois","Non","Non","Modifier l'ADN de la bactérie","Des séquences d'ADN","Terminateur","Promoteur","Fluorescence","Je ne sais pas","Elle indique la fin de la construction","Elle contrôle quand la construction est active","Elle contrôle quelle protéine est produite, et donc quelle capacité est affectée","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Option 3","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Un plasmide - un moyen d'équiper une construction supplémentaire","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Elle produit la fluorescence verte","","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Elle ne serait active que dans les nuages de l-arabinose","Si elle produisait de la YFP sous lumière cyan","E. Coli","Des flagelles","Ampicilline","C'est génial!","e87957e0-2aa7-48b9-9ee8-86e25e45a8ab"
"2017/10/16 2:07:42 PM GMT+1","Moyennement","Moyennement","17","Femme","Jusqu'au bac","Beaucoup","Oui","Non","Non","Une fois","Non","Non","Ramasser des nanorobots","Des acides aminés","Transposeur","Prémoteur","Fluorescence","RBS","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Elle contrôle quelle protéine est produite, et donc quelle capacité est affectée","","Elle contrôle quand la construction est active","Option 1","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Un plasmide - un moyen d'équiper une construction supplémentaire","Elle produit la fluorescence verte en présence de l-arabinose","Elle permet de se déplacer plus vite","Je ne sais pas","Elle permet de se déplacer plus vite","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","A partir du moment où elle serait induite, elle produirait de plus en plus de l-arabinose puisqu'elle s'induirait elle-même","Si elle produisait de la BFP sous lumière violette","Hero.Coli","Des flagelles","Ampicilline","","a7936587-8b71-43b6-9c61-17b2c2b55de3"
"2017/10/16 2:11:08 PM GMT+1","Moyennement","Moyennement","17","Homme","Jusqu'au bac","Enormément","Oui","Je ne sais pas","Quelques fois","Une fois","Non","Non","Modifier l'ADN de la bactérie","Des séquences d'ADN","Terminateur","Précurseur","Protéine","GFP","Elle indique la fin de la construction","Elle contrôle quelle protéine est produite, et donc quelle capacité est affectée","Elle contrôle quelle protéine est produite, et donc quelle capacité est affectée","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Option 3","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Un plasmide - un moyen d'équiper une construction supplémentaire","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Je ne sais pas","Si elle produisait de la YFP sous lumière cyan","E. Coli","Des flagelles","Ampicilline","","9385861a-b7bf-48cc-aa47-9aec96c016e7"
"2017/10/16 2:12:27 PM GMT+1","Moyennement","Moyennement","18","Je ne souhaite pas le préciser","Jusqu'à la license","Enormément","Oui","Oui","Non","Une fois","Non","Non","Modifier l'ADN de la bactérie","Des séquences d'ADN","Terminateur","Promoteur","Séquence Codante","GFP","Elle indique la fin de la construction","Elle contrôle quand la construction est active","Elle contrôle quelle protéine est produite, et donc quelle capacité est affectée","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Option 3","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Un plasmide - un moyen d'équiper une construction supplémentaire","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte","A partir du moment où elle serait induite, elle produirait de plus en plus de l-arabinose puisqu'elle s'induirait elle-même","Si elle produisait de la YFP sous lumière cyan","E. Coli","Des flagelles","Ampicilline","","4cd1abad-a077-46a1-bbe4-7a83594de09e"
"2017/10/16 2:14:12 PM GMT+1","Moyennement","Moyennement","14","Femme","Jusqu'à la license","Enormément","Oui","Oui","Non","","Une fois","Non","Modifier l'ADN de la bactérie","Des séquences d'ADN","Terminateur","Promoteur","Séquence Codante","RBS","Elle indique la fin de la construction","Elle contrôle quelle protéine est produite, et donc quelle capacité est affectée","Elle contrôle quand la construction est active","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Option 3","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Un plasmide - un moyen d'équiper une construction supplémentaire","Elle produit la fluorescence verte","","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Elle ne serait active que dans les nuages de l-arabinose","Si elle produisait de la BFP sous lumière violette","E. Coli","Des flagelles","Ampicilline","","4dbc1a0a-e1d2-44dd-833c-62252a56bfd6"
"2017/10/16 2:14:16 PM GMT+1","Moyennement","Un peu","18","Femme","Jusqu'à la license","Enormément","Oui","Oui","Non","","Une fois","Non","Modifier l'ADN de la bactérie","Des séquences d'ADN","Transcripteur","Précurseur","Fluorescence","GFP","Elle contrôle quand la construction est active","Elle contrôle quelle protéine est produite, et donc quelle capacité est affectée","Elle indique la fin de la construction","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Option 3","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Un plasmide - un moyen d'équiper une construction supplémentaire","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Elle ne serait active que dans les nuages de l-arabinose","Si elle produisait de la YFP sous lumière cyan","E. Coli","Des flagelles","Ampicilline","Super jeu qui permet d'avoir plus de connaissance scientifiques, le design est génial, bravo !","bfdfd356-5d6f-4696-a2f1-c1dc338aa64b"
"2017/10/16 2:33:40 PM GMT+1","Un peu","Un peu","18","Homme","Jusqu'à la license","Beaucoup","Oui","Je ne sais pas","Non","Non","Non","Non","Modifier l'ADN de la bactérie","Des séquences d'ADN","Terminateur","Promoteur","Séquence Codante","RBS","Elle contrôle quand la construction est active","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Elle contrôle quelle protéine est produite, et donc quelle capacité est affectée","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Option 3","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Un plasmide - un moyen d'équiper une construction supplémentaire","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte","Je ne sais pas","Si elle produisait de la GFP sous lumière jaune","E. Coli","Des flagelles","Ampicilline","","fa873073-af62-4ab0-bf76-b3864762b550"
"2017/10/20 11:45:27 AM GMT+1","Beaucoup","Un peu","25","Homme","Jusqu'au bac","Moyennement","Non","Non","Non","Une fois","Une fois","Non","Modifier l'ADN de la bactérie","Des séquences d'ADN","Terminateur","Promoteur","Séquence Codante","PCR","Elle indique la fin de la construction","Elle contrôle quand la construction est active","Elle contrôle quelle protéine est produite, et donc quelle capacité est affectée","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Option 3","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Un plasmide - un moyen d'équiper une construction supplémentaire","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","A partir du moment où elle serait induite, elle produirait de plus en plus de l-arabinose puisqu'elle s'induirait elle-même","Si elle produisait de la YFP sous lumière cyan","E. Coli","Des flagelles","Ampicilline","Super jeu","9880ce9d-c6fc-476e-98a9-a9e8c8f7fcdc"
"2017/10/23 11:55:26 AM GMT+1","Un peu","Un peu","13","Femme","Jusqu'au brevet","Un peu","Non","Non","Non","Non","Non","Non","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","","f252cd36-b9a9-472b-9605-2a5e3cc799c7"
"2017/10/24 9:56:44 AM GMT+1","Un peu","Un peu","13","Femme","Jusqu'au brevet","Un peu","Non","Non","Non","Une fois","Non","Non","Modifier l'ADN de la bactérie","Je ne sais pas","Terminateur","Je ne sais pas","Je ne sais pas","Je ne sais pas","Elle indique la fin de la construction","Elle contrôle quand la construction est active","Elle contrôle quelle protéine est produite, et donc quelle capacité est affectée","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Option 3","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Un plasmide - un moyen d'équiper une construction supplémentaire","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Je ne sais pas","Je ne sais pas","Cellia","Des flagelles","Je ne sais pas","","f252cd36-b9a9-472b-9605-2a5e3cc799c7"
"2017/10/26 4:27:48 PM GMT+1","Beaucoup","Enormément","19","Homme","Jusqu'à la license","Beaucoup","Oui","Oui","Non","Une fois","Non","Non","Modifier l'ADN de la bactérie","Des séquences d'ADN","Terminateur","Promoteur","Séquence Codante","RBS","Elle indique la fin de la construction","Elle contrôle quand la construction est active","Elle contrôle quelle protéine est produite, et donc quelle capacité est affectée","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Option 3","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Un plasmide - un moyen d'équiper une construction supplémentaire","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Elle ne serait active que dans les nuages de l-arabinose","Si elle produisait de la YFP sous lumière cyan","E. Coli","Des flagelles","Ampicilline","Problèmes de performances ( fps drop ), sinon pas mal le jeu.","74cfbbd0-eb35-467c-9bad-221ac73a7444"
"2017/10/28 2:32:13 PM GMT+1","Moyennement","Moyennement","11","Homme","Jamais, pas même au collège","Un peu","Non","Non","Non","Non","Non","Non","Modifier l'ADN de la bactérie","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Je ne sais pas","Je ne sais pas","E. Coli","Des flagelles","Je ne sais pas","","bdc1c38d-dce7-4c00-8ea2-9514643bc09f"
"2017/11/14 8:10:15 AM GMT+1","Beaucoup","Moyennement","44","Homme","Jusqu'au brevet","Beaucoup","Oui","Non","Non","Non","Une fois","Non","Modifier l'ADN de la bactérie","Je ne sais pas","Transcripteur","Précurseur","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Je ne sais pas","Je ne sais pas","Les flagelles disparaissent l'un après l'autre, rapidement","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Je ne sais pas","Je ne sais pas","E. Coli","Des flagelles","Ampicilline","","deb089c0-9be3-4b75-9b27-28963c77b10c"
"2017/11/17 2:13:11 PM GMT+1","Moyennement","Un peu","18","Femme","Jusqu'à la license","Beaucoup","Oui","Non","Non","Une fois","Non","Non","Modifier l'ADN de la bactérie","Des protéines","Terminateur","Promoteur","Protéine","ATP","Elle indique la fin de la construction","Elle contrôle quand la construction est active","Elle contrôle quelle protéine est produite, et donc quelle capacité est affectée","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Option 3","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Un plasmide - un moyen d'équiper une construction supplémentaire","Elle produit la fluorescence verte","Elle produit la fluorescence verte en présence de l-arabinose","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Elle produirait en permanence de la l-arabinose","Si elle produisait de la YFP sous lumière cyan","E. Coli","Des flagelles","Ampicilline","29","e87957e0-2aa7-48b9-9ee8-86e25e45a8ab"
"2017/11/17 4:37:50 PM GMT+1","Beaucoup","Moyennement","17","Femme","Jusqu'à la license","Beaucoup","Oui","Non","Non","Quelques fois","Une fois","Non","Modifier l'ADN de la bactérie","Des séquences d'ADN","Terminateur","Promoteur","Je ne sais pas","Je ne sais pas","Elle indique la fin de la construction","Elle contrôle quand la construction est active","Elle contrôle quelle protéine est produite, et donc quelle capacité est affectée","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Option 3","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Un nanorobot - simplement un bonus dans le jeu","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Elle ne produirait rien puisqu'elle s'induirait elle-même","Si elle produisait de la YFP sous lumière cyan","E. Coli","Des flagelles","Ampicilline","Anouk Tomas (numéro d'élève 8)","5e8dd563-9049-4da4-ab54-42e472ba6f41"
"2017/11/19 8:58:43 PM GMT+1","Un peu","Un peu","18","Homme","Jusqu'au bac","Enormément","Je ne sais pas","Non","Non","Une fois","Non","Non","Modifier l'ADN de la bactérie","Des séquences d'ADN","Terminateur","Promoteur","Séquence Codante","PCR","Elle indique la fin de la construction","Elle contrôle quand la construction est active","Elle contrôle quelle protéine est produite, et donc quelle capacité est affectée","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Option 2","Je ne sais pas","Les flagelles disparaissent l'un après l'autre, rapidement","Un plasmide - un moyen d'équiper une construction supplémentaire","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Je ne sais pas","Si elle produisait de la YFP sous lumière cyan","E. Coli","Des flagelles","Ampicilline","32","9385861a-b7bf-48cc-aa47-9aec96c016e7"
"2017/11/21 10:55:13 AM GMT+1","Enormément","Enormément","21","Femme","Jusqu'à la license","Moyennement","Oui","Non","Non","Non","Non","Non","Modifier l'ADN de la bactérie","Je ne sais pas","Terminateur","Promoteur","Séquence Codante","ATP","Elle indique la fin de la construction","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Je ne sais pas","Je ne sais pas","Je ne sais pas","Rien","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Elle produit la fluorescence verte en présence de l-arabinose","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte","Je ne sais pas","Je ne sais pas","Je ne sais pas","Des flagelles","Ampicilline","","ba202bbc-af77-42e8-85ff-e25b871717d5"
"2017/11/21 10:55:56 AM GMT+1","Beaucoup","Moyennement","21","Homme","Au moins jusqu'au master","Beaucoup","Oui","Non","Non","Non","Non","Non","Modifier l'ADN de la bactérie","Des protéines","Je ne sais pas","Promoteur","Séquence Codante","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","","5151a69c-201b-45ec-954a-460a07443f96"
"2017/11/21 10:55:57 AM GMT+1","Un peu","Pas du tout","24","Homme","Au moins jusqu'au master","Enormément","Oui","Non","Non","Non","Non","Non","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Sous lumière bleue, quand la construction GFP est équipée","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","","44fe6cda-3f3e-4a6d-857e-4f22c3787202"
"2017/11/21 10:55:59 AM GMT+1","Un peu","Un peu","21","Femme","Au moins jusqu'au master","Beaucoup","Oui","Je ne sais pas","Non","Non","Non","Non","Je ne sais pas","Je ne sais pas","Transcripteur","Promoteur","Protéine","Je ne sais pas","Je ne sais pas","Elle contrôle quand la construction est active","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Un plasmide - un moyen d'équiper une construction supplémentaire","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","E. Coli","Des flagelles","Ampicilline","","5ca76986-9cac-4824-82ef-e20b81199e1a"
"2017/11/21 10:56:13 AM GMT+1","Beaucoup","Moyennement","22","Homme","Au moins jusqu'au master","Enormément","Oui","Oui","Non","Non","Non","Non","Modifier l'ADN de la bactérie","Des séquences d'ADN","Je ne sais pas","Promoteur","Séquence Codante","Je ne sais pas","Je ne sais pas","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Elle contrôle quelle protéine est produite, et donc quelle capacité est affectée","Je ne sais pas","Option 4","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Un plasmide - un moyen d'équiper une construction supplémentaire","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Elle ne produirait rien puisqu'elle s'induirait elle-même","Si elle produisait de la YFP sous lumière cyan","E. Coli","Des flagelles","Ampicilline","Questionnaire cool pour un biologiste","5d9e5030-50dc-4fcd-be4b-1b4fcd40097d"
"2017/11/21 10:57:48 AM GMT+1","Moyennement","Moyennement","22","Homme","Au moins jusqu'au master","Moyennement","Je ne sais pas","Non","Non","Non","Non","Non","Modifier l'ADN de la bactérie","Des acides aminés","Transcripteur","Promoteur","Ribosome","Je ne sais pas","Elle indique la fin de la construction","Elle contrôle quand la construction est active","Elle contrôle quand la construction est active","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Option 2","Je ne sais pas","Les flagelles disparaissent l'un après l'autre, rapidement","Un plasmide - un moyen d'équiper une construction supplémentaire","Elle produit la fluorescence verte","Je ne sais pas","Je ne sais pas","Je ne sais pas","Elle produit la fluorescence verte","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Hero.Coli","Des flagelles","Ampicilline","","df4f13e0-a9da-4acd-a0a4-d33bb84493d4"
"2017/11/21 10:58:34 AM GMT+1","Moyennement","Un peu","22","Femme","Jusqu'à la license","Beaucoup","Oui","Non","Non","Non","Non","Non","Modifier l'ADN de la bactérie","Des séquences d'ADN","Je ne sais pas","Promoteur","Séquence Codante","Je ne sais pas","Je ne sais pas","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Elle contrôle quelle protéine est produite, et donc quelle capacité est affectée","Je ne sais pas","Option 2","Sous lumière bleue, quand la construction GFP est équipée","Je ne sais pas","Un plasmide - un moyen d'équiper une construction supplémentaire","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","A partir du moment où elle serait induite, elle produirait de plus en plus de l-arabinose puisqu'elle s'induirait elle-même","Si elle produisait de la YFP sous lumière cyan","E. Coli","Des flagelles","Ampicilline","","18102cfd-8ef0-42f1-9f05-30fc7779979c"
"2017/11/21 10:58:51 AM GMT+1","Pas du tout","Pas du tout","21","Homme","Au moins jusqu'au master","Enormément","Oui","Non","Non","Non","Non","Non","Modifier l'ADN de la bactérie","Des séquences d'ADN","Terminateur","Promoteur","Séquence Codante","ATP","Elle indique la fin de la construction","Elle contrôle quelle protéine est produite, et donc quelle capacité est affectée","Elle contrôle quand la construction est active","Je ne sais pas","Option 3","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Un plasmide - un moyen d'équiper une construction supplémentaire","Elle produit la fluorescence verte en présence de l-arabinose","Je ne sais pas","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Elle produit la fluorescence verte en présence de l-arabinose","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte","A partir du moment où elle serait induite, elle produirait de plus en plus de l-arabinose puisqu'elle s'induirait elle-même","Si elle produisait de la YFP sous lumière cyan","E. Coli","Des flagelles","Ampicilline","","0916ecad-850e-4bfb-b8d4-e9e8f66c52d4"
"2017/11/21 10:59:11 AM GMT+1","Beaucoup","Beaucoup","22","Femme","Au moins jusqu'au master","Beaucoup","Oui","Non","Non","Non","Non","Non","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","A partir du moment où elle serait induite, elle produirait de plus en plus de l-arabinose puisqu'elle s'induirait elle-même","Je ne sais pas","Je ne sais pas","Des flagelles","Ampicilline","","998cde9b-39cb-49ea-a5b6-d492d4b8d84a"
"2017/11/21 10:59:41 AM GMT+1","Beaucoup","Un peu","22","Homme","Au moins jusqu'au master","Enormément","Oui","Je ne sais pas","Non","Non","Non","Non","Modifier l'ADN de la bactérie","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Un plasmide - un moyen d'équiper une construction supplémentaire","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Ampicilline","","bbca0320-db34-4ce4-ab87-39e303c177c5"
